SalesOrderNumber,SalesOrderLineNumber,OrderDate,DueDate,ShipDate,ClienteID,NombreCliente,TerritorioID,Territorio,Pais,ProductoID,Producto,Color,StandardCost,ListPrice,Subcategoria,Categoria,VendedorID,NombreVendedor,OrderQty,UnitPrice,UnitPriceDiscount,LineTotal
SO71001,1,2023-06-04,2023-06-25,2023-06-06,10004,Sergio Fernandez,9,Australia,Australia,60,Rear Light,Yellow,922.5138,1270.3337,Lights,Accessories,1,Jose Antonio Lopez,2,1270.3337,0,2540.6674
SO71002,1,2025-04-12,2025-05-03,2025-04-19,10014,Paula Ruiz,7,France,France,25,Touring-1000 38,Blue,846.6571,1447.8925,Touring Bikes,Bikes,7,Andres Moya,1,1447.8925,0.02,1418.9346
SO71002,2,2025-04-12,2025-05-03,2025-04-19,10014,Paula Ruiz,7,France,France,17,Road-250 42,Black,669.1681,1202.9252,Road Bikes,Bikes,7,Andres Moya,4,1202.9252,0,4811.7008
SO71003,1,2025-05-16,2025-06-06,2025-05-19,10013,Ruben Ruiz,5,Southeast,United States,38,Rear Brakes,Multi,707.7344,1301.3068,Brakes,Components,5,Francisco Jimenez,6,1301.3068,0.05,7417.4488
SO71004,1,2023-05-05,2023-05-19,2023-05-07,10004,Sergio Fernandez,10,United Kingdom,United Kingdom,4,Mountain-200 38,Yellow,118.0225,183.307,Mountain Bikes,Bikes,8,Teresa Vidal,5,183.307,0,916.535
SO71004,2,2023-05-05,2023-05-19,2023-05-07,10004,Sergio Fernandez,10,United Kingdom,United Kingdom,55,Water Bottle - 30 oz.,Yellow,399.1249,523.5266,Bottles and Cages,Accessories,8,Teresa Vidal,2,523.5266,0,1047.0532
SO71005,1,2026-05-03,2026-05-10,2026-05-06,10026,Sergio Fernandez,2,Northeast,United States,40,LL Mountain Front Wheel,Red,618.7887,838.1775,Wheels,Components,2,Marta Ruiz Soto,1,838.1775,0.02,821.4139
SO71006,1,2026-04-10,2026-04-24,2026-04-15,10014,Paula Ruiz,6,Canada,Canada,26,Touring-1000 42,Blue,99.612,167.4465,Touring Bikes,Bikes,6,Silvia Castro,2,167.4465,0.1,301.4037
SO71006,2,2026-04-10,2026-04-24,2026-04-15,10014,Paula Ruiz,6,Canada,Canada,42,ML Mountain Front Wheel,Red,953.614,1481.2448,Wheels,Components,6,Silvia Castro,3,1481.2448,0.02,4354.8597
SO71006,3,2026-04-10,2026-04-24,2026-04-15,10014,Paula Ruiz,6,Canada,Canada,21,Road-350 46,Yellow,1182.4875,2144.0753,Road Bikes,Bikes,6,Silvia Castro,1,2144.0753,0,2144.0753
SO71007,1,2025-07-27,2025-08-03,2025-07-29,10035,David Ruiz,4,Southwest,United States,60,Rear Light,Yellow,922.5138,1270.3337,Lights,Accessories,4,Carmen Ortega,3,1270.3337,0,3811.0011
SO71007,2,2025-07-27,2025-08-03,2025-07-29,10035,David Ruiz,4,Southwest,United States,57,Cable Lock,Blue,298.751,431.5527,Locks,Accessories,4,Carmen Ortega,2,431.5527,0,863.1054
SO71008,1,2024-08-06,2024-08-16,2024-08-13,10035,David Ruiz,5,Southeast,United States,60,Rear Light,Yellow,922.5138,1270.3337,Lights,Accessories,5,Francisco Jimenez,6,1270.3337,0,7622.0022
SO71008,2,2024-08-06,2024-08-16,2024-08-13,10035,David Ruiz,5,Southeast,United States,57,Cable Lock,Blue,298.751,431.5527,Locks,Accessories,5,Francisco Jimenez,2,431.5527,0,863.1054
SO71008,3,2024-08-06,2024-08-16,2024-08-13,10035,David Ruiz,5,Southeast,United States,8,Mountain-300 42,Red,512.131,803.8026,Mountain Bikes,Bikes,5,Francisco Jimenez,1,803.8026,0.1,723.4223
SO71009,1,2026-02-07,2026-02-17,2026-02-12,10019,Laura Dominguez,10,United Kingdom,United Kingdom,14,Road-150 42,Black,422.5875,616.4337,Road Bikes,Bikes,4,Carmen Ortega,6,616.4337,0.1,3328.742
SO71009,2,2026-02-07,2026-02-17,2026-02-12,10019,Laura Dominguez,10,United Kingdom,United Kingdom,55,Water Bottle - 30 oz.,Yellow,399.1249,523.5266,Bottles and Cages,Accessories,4,Carmen Ortega,3,523.5266,0.05,1492.0508
